image_name,cow_id,angle,collection_date,time_of_day,weather,camera_mode,device,collector_name,gps_coordinates,location
cow_0001_angle1.jpg,0001,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0002_angle1.jpg,0002,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0003_angle1.jpg,0003,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0004_angle1.jpg,0004,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0005_angle1.jpg,0005,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0006_angle1.jpg,0006,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0007_angle1.jpg,0007,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0008_angle1.jpg,0008,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0009_angle1.jpg,0009,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0010_angle1.jpg,0010,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0011_angle1.jpg,0011,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0012_angle1.jpg,0012,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0013_angle1.jpg,0013,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0014_angle1.jpg,0014,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0015_angle1.jpg,0015,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0016_angle1.jpg,0016,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0017_angle1.jpg,0017,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
cow_0018_angle1.jpg,0018,1,27-11-2025,Morning,Sunny,Auto,POCO X4 Pro 5G,Sadman Islam Amlan,"23.7461,90.3872","Agargaon, Dhaka"
